instanceType,instanceFamily,instanceFamilyName,processor,processorFeatures,vCpus,vCpuCores,vCpuThreadsPerCore,memorySizeInMiB,memorySizeInGiB,storage,storageTotalSizeInGB,networkPerformance,gpuTotalGpuMemoryInMiB,gpuTotalGpuMemoryInGiB,gpuCount,gpuName,gpuMemorySizeInMiB,onDemandLinuxHr,onDemandLinuxMonth,spotLinuxHr,spotLinuxMonth,processorClockSpeedInGhz,location,locationName,locationType,locationContinent,storageSupported,gpuManufacturer,currentGeneration,supportedUsageClasses,supportedRootDeviceTypes,supportedVirtualizationTypes,bareMetal,hypervisor,processorArchitectures,processorManufacturer,storageNvmeSupport,storageEncryptionSupport,ebsOptimizedSupport,ebsEncryptionSupport,ebsOptimizedBaselineBandwidthInMbps,ebsOptimizedBaselineThroughputInMBps,ebsOptimizedBaselineIops,ebsOptimizedMaxBandwidthInMbps,ebsOptimizedMaxThroughputInMBps,ebsOptimizedMaxIops,ebsNvmeSupport,onDemandSuseHr,onDemandSuseMonth,onDemandRhelHr,onDemandRhelMonth
c5.4xlarge,c5,"Compute optimized","Intel Xeon Platinum 8124M","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",16.0,8.0,2.0,32768.0,32.0,"EBS only",0.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.68,496.4,0.179,130.67,3.4,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,"","",default,supported,4750.0,594.0,20000.0,4750.0,594.0,20000.0,required,0.78,569.4,0.853,622.69
c5.9xlarge,c5,"Compute optimized","Intel Xeon Platinum 8124M","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",36.0,18.0,2.0,73728.0,72.0,"EBS only",0.0,"12 Gigabit",0.0,0.0,0,"","",1.53,1116.9,0.5126,374.2,3.4,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,"","",default,supported,9500.0,1188.0,40000.0,9500.0,1188.0,40000.0,required,1.63,1189.9,1.919,1400.87
c5.large,c5,"Compute optimized","Intel Xeon Platinum 8124M","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",2.0,1.0,2.0,4096.0,4.0,"EBS only",0.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.085,62.05,0.0318,23.21,3.4,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,"","",default,supported,650.0,81.0,4000.0,4750.0,594.0,20000.0,required,0.141,102.93,0.114,83.22
c5.metal,c5,"Compute optimized","Intel Xeon Platinum 8275L","Intel AVX; Intel AVX2; Intel AVX512; Intel Deep Learning Boost; Intel Turbo",96.0,48.0,2.0,196608.0,192.0,"EBS only",0.0,"25 Gigabit",0.0,0.0,0,"","",4.08,2978.4,0.5699,416.03,3.6,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",1,"on-demand, spot",ebs,hvm,1,"",x86_64,Intel,"","",default,supported,19000.0,2375.0,80000.0,19000.0,2375.0,80000.0,required,4.18,3051.4,5.117,3735.41
c5.xlarge,c5,"Compute optimized","Intel Xeon Platinum 8124M","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",4.0,2.0,2.0,8192.0,8.0,"EBS only",0.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.17,124.1,0.0608,44.38,3.4,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,"","",default,supported,1150.0,144.0,6000.0,4750.0,594.0,20000.0,required,0.226,164.98,0.228,166.44
c5a.12xlarge,c5a,"Compute optimized","AMD EPYC 7R32","AMD Turbo; AVX; AVX2",48.0,24.0,2.0,98304.0,96.0,"EBS only",0.0,"12 Gigabit",0.0,0.0,0,"","",1.848,1349.04,0.5485,400.4,3.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,AMD,"","",default,supported,4750.0,594.0,20000.0,4750.0,594.0,20000.0,required,1.973,1440.29,2.366,1727.18
c5a.16xlarge,c5a,"Compute optimized","AMD EPYC 7R32","AMD Turbo; AVX; AVX2",64.0,32.0,2.0,131072.0,128.0,"EBS only",0.0,"20 Gigabit",0.0,0.0,0,"","",2.464,1798.72,0.8527,622.47,3.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,AMD,"","",default,supported,6300.0,788.0,26700.0,6300.0,788.0,26700.0,required,2.589,1889.97,3.155,2303.15
c5a.24xlarge,c5a,"Compute optimized","AMD EPYC 7R32","AMD Turbo; AVX; AVX2",96.0,48.0,2.0,196608.0,192.0,"EBS only",0.0,"20 Gigabit",0.0,0.0,0,"","",3.696,2698.08,1.2555,916.52,3.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,AMD,"","",default,supported,9500.0,1188.0,40000.0,9500.0,1188.0,40000.0,required,3.821,2789.33,4.733,3455.09
c5a.2xlarge,c5a,"Compute optimized","AMD EPYC 7R32","AMD Turbo; AVX; AVX2",8.0,4.0,2.0,16384.0,16.0,"EBS only",0.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.308,224.84,0.1366,99.72,3.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,AMD,"","",default,supported,800.0,100.0,3200.0,3170.0,396.0,13300.0,required,0.433,316.09,0.423,308.79
c5a.4xlarge,c5a,"Compute optimized","AMD EPYC 7R32","AMD Turbo; AVX; AVX2",16.0,8.0,2.0,32768.0,32.0,"EBS only",0.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.616,449.68,0.276,201.48,3.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,AMD,"","",default,supported,1580.0,198.0,6600.0,3170.0,396.0,13300.0,required,0.741,540.93,0.789,575.97
