instanceType,vCpus,memorySizeInGiB,processorClockSpeedInGhz,spotLinuxHr,onDemandLinuxHr,storageTotalSizeInGB,speed_price_ratio,cpu_price_ratio,ram_price_ratio,comp_price_ratio,demand_spot_ratio,instanceFamilyName
c5.9xlarge,36.0,72.0,3.4,0.5126,1.53,0.0,2.22222222222222,23.5294117647059,47.0588235294118,80.0,2.98478345688646,"Compute optimized"
c5.large,2.0,4.0,3.4,0.0318,0.085,0.0,40.0,23.5294117647059,47.0588235294118,80.0,2.67295597484277,"Compute optimized"
c5.metal,96.0,192.0,3.6,0.5699,4.08,0.0,0.882352941176471,23.5294117647059,47.0588235294118,84.7058823529412,7.15915072819793,"Compute optimized"
c5.xlarge,4.0,8.0,3.4,0.0608,0.17,0.0,20.0,23.5294117647059,47.0588235294118,80.0,2.79605263157895,"Compute optimized"
c5a.12xlarge,48.0,96.0,3.3,0.5485,1.848,0.0,1.78571428571429,25.974025974026,51.9480519480519,85.7142857142857,3.36918869644485,"Compute optimized"
c5a.16xlarge,64.0,128.0,3.3,0.8527,2.464,0.0,1.33928571428571,25.974025974026,51.9480519480519,85.7142857142857,2.88964465814472,"Compute optimized"
c5a.24xlarge,96.0,192.0,3.3,1.2555,3.696,0.0,0.892857142857143,25.974025974026,51.9480519480519,85.7142857142857,2.94384707287933,"Compute optimized"
c5a.2xlarge,8.0,16.0,3.3,0.1366,0.308,0.0,10.7142857142857,25.974025974026,51.9480519480519,85.7142857142857,2.25475841874085,"Compute optimized"
c5a.4xlarge,16.0,32.0,3.3,0.276,0.616,0.0,5.35714285714286,25.974025974026,51.9480519480519,85.7142857142857,2.23188405797101,"Compute optimized"
c5a.8xlarge,32.0,64.0,3.3,0.4992,1.232,0.0,2.67857142857143,25.974025974026,51.9480519480519,85.7142857142857,2.46794871794872,"Compute optimized"
c5a.large,2.0,4.0,3.3,0.0278,0.077,0.0,42.8571428571429,25.974025974026,51.9480519480519,85.7142857142857,2.76978417266187,"Compute optimized"
c5a.xlarge,4.0,8.0,3.3,0.0606,0.154,0.0,21.4285714285714,25.974025974026,51.9480519480519,85.7142857142857,2.54125412541254,"Compute optimized"
c5ad.12xlarge,48.0,96.0,3.3,0.7965,2.064,1800.0,1.59883720930233,23.2558139534884,46.5116279069767,76.7441860465116,2.59133709981168,"Compute optimized"
c5ad.16xlarge,64.0,128.0,3.3,0.9347,2.752,2400.0,1.19912790697674,23.2558139534884,46.5116279069767,76.7441860465116,2.94426019043543,"Compute optimized"
c5ad.24xlarge,96.0,192.0,3.3,1.3334,4.128,3800.0,0.799418604651163,23.2558139534884,46.5116279069767,76.7441860465116,3.09584520773961,"Compute optimized"
c5ad.2xlarge,8.0,16.0,3.3,0.1506,0.344,300.0,9.59302325581395,23.2558139534884,46.5116279069767,76.7441860465116,2.28419654714475,"Compute optimized"
c5ad.4xlarge,16.0,32.0,3.3,0.2898,0.688,600.0,4.79651162790698,23.2558139534884,46.5116279069767,76.7441860465116,2.37405106970324,"Compute optimized"
c5ad.8xlarge,32.0,64.0,3.3,0.6712,1.376,1200.0,2.39825581395349,23.2558139534884,46.5116279069767,76.7441860465116,2.05005959475566,"Compute optimized"
c5ad.large,2.0,4.0,3.3,0.0299,0.086,75.0,38.3720930232558,23.2558139534884,46.5116279069767,76.7441860465116,2.87625418060201,"Compute optimized"
c5ad.xlarge,4.0,8.0,3.3,0.0697,0.172,150.0,19.1860465116279,23.2558139534884,46.5116279069767,76.7441860465116,2.46771879483501,"Compute optimized"
c5d.12xlarge,48.0,96.0,3.6,0.7994,2.304,1800.0,1.5625,20.8333333333333,41.6666666666667,75.0,2.88216162121591,"Compute optimized"
c5d.18xlarge,72.0,144.0,3.4,0.7476,3.456,1800.0,0.983796296296296,20.8333333333333,41.6666666666667,70.8333333333333,4.62279293739968,"Compute optimized"
c5d.24xlarge,96.0,192.0,3.6,1.2878,4.608,3600.0,0.78125,20.8333333333333,41.6666666666667,75.0,3.57819537195217,"Compute optimized"
c5d.2xlarge,8.0,16.0,3.4,0.155,0.384,200.0,8.85416666666667,20.8333333333333,41.6666666666667,70.8333333333333,2.47741935483871,"Compute optimized"
c5d.4xlarge,16.0,32.0,3.4,0.3576,0.768,400.0,4.42708333333333,20.8333333333333,41.6666666666667,70.8333333333333,2.14765100671141,"Compute optimized"
c5d.9xlarge,36.0,72.0,3.4,0.587,1.728,900.0,1.96759259259259,20.8333333333333,41.6666666666667,70.8333333333333,2.94378194207836,"Compute optimized"
c5d.large,2.0,4.0,3.4,0.0337,0.096,50.0,35.4166666666667,20.8333333333333,41.6666666666667,70.8333333333333,2.8486646884273,"Compute optimized"
c5d.metal,96.0,192.0,3.6,0.5305,4.608,3600.0,0.78125,20.8333333333333,41.6666666666667,75.0,8.6861451460886,"Compute optimized"
c5d.xlarge,4.0,8.0,3.4,0.0701,0.192,100.0,17.7083333333333,20.8333333333333,41.6666666666667,70.8333333333333,2.73894436519258,"Compute optimized"
c5n.18xlarge,72.0,192.0,3.4,0.6157,3.888,0.0,0.874485596707819,18.5185185185185,49.3827160493827,62.962962962963,6.31476368361215,"Compute optimized"
c5n.2xlarge,8.0,21.0,3.4,0.1927,0.432,0.0,7.87037037037037,18.5185185185185,48.6111111111111,62.962962962963,2.24182667358588,"Compute optimized"
c5n.4xlarge,16.0,42.0,3.4,0.382,0.864,0.0,3.93518518518519,18.5185185185185,48.6111111111111,62.962962962963,2.26178010471204,"Compute optimized"
c5n.9xlarge,36.0,96.0,3.4,0.6344,1.944,0.0,1.74897119341564,18.5185185185185,49.3827160493827,62.962962962963,3.06431273644388,"Compute optimized"
c5n.large,2.0,5.25,3.4,0.0354,0.108,0.0,31.4814814814815,18.5185185185185,48.6111111111111,62.962962962963,3.05084745762712,"Compute optimized"
c5n.metal,72.0,192.0,3.4,0.3916,3.888,0.0,0.874485596707819,18.5185185185185,49.3827160493827,62.962962962963,9.92849846782431,"Compute optimized"
c5n.xlarge,4.0,10.5,3.4,0.1,0.216,0.0,15.7407407407407,18.5185185185185,48.6111111111111,62.962962962963,2.16,"Compute optimized"
c6a.12xlarge,48.0,96.0,3.6,0.5169,1.836,0.0,1.96078431372549,26.1437908496732,52.2875816993464,94.1176470588235,3.55194428322693,"Compute optimized"
