instanceType,vCpus,vCpuCores,memorySizeInGiB,gpuCount,gpuTotalGpuMemoryInGiB,onDemandLinuxHr,spotLinuxHr,vCpuThreadsPerCore,storageTotalSizeInGB,storage,networkPerformance,gpuName,processorClockSpeedInGhz,instanceFamilyName
r5a.xlarge,4.0,2.0,32.0,0,0.0,0.226,0.0758,2.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"Memory optimized"
r5ad.12xlarge,48.0,24.0,384.0,0,0.0,3.144,1.0721,2.0,1800.0,"2 x 900 NVMe SSD","10 Gigabit","",2.2,"Memory optimized"
r5ad.16xlarge,64.0,32.0,512.0,0,0.0,4.192,1.1574,2.0,2400.0,"4 x 600 NVMe SSD","12 Gigabit","",2.5,"Memory optimized"
r5ad.24xlarge,96.0,48.0,768.0,0,0.0,6.288,2.2215,2.0,3600.0,"4 x 900 NVMe SSD","20 Gigabit","",2.2,"Memory optimized"
r5ad.2xlarge,8.0,4.0,64.0,0,0.0,0.524,0.2584,2.0,300.0,"1 x 300 NVMe SSD","Up to 10 Gigabit","",2.2,"Memory optimized"
r5ad.4xlarge,16.0,8.0,128.0,0,0.0,1.048,0.5402,2.0,600.0,"2 x 300 NVMe SSD","Up to 10 Gigabit","",2.2,"Memory optimized"
r5ad.8xlarge,32.0,16.0,256.0,0,0.0,2.096,0.6093,2.0,1200.0,"2 x 600 NVMe SSD","Up to 10 Gigabit","",2.5,"Memory optimized"
r5ad.large,2.0,1.0,16.0,0,0.0,0.131,0.0361,2.0,75.0,"1 x 75 NVMe SSD","Up to 10 Gigabit","",2.2,"Memory optimized"
r5ad.xlarge,4.0,2.0,32.0,0,0.0,0.262,0.1025,2.0,150.0,"1 x 150 NVMe SSD","Up to 10 Gigabit","",2.2,"Memory optimized"
r5b.12xlarge,48.0,24.0,384.0,0,0.0,3.576,1.4177,2.0,0.0,"EBS only","12 Gigabit","",3.1,"Memory optimized"
r5b.16xlarge,64.0,32.0,512.0,0,0.0,4.768,1.8736,2.0,0.0,"EBS only","20 Gigabit","",3.1,"Memory optimized"
r5b.24xlarge,96.0,48.0,768.0,0,0.0,7.152,3.8,2.0,0.0,"EBS only","25 Gigabit","",3.1,"Memory optimized"
r5b.2xlarge,8.0,4.0,64.0,0,0.0,0.596,0.3438,2.0,0.0,"EBS only","Up to 10 Gigabit","",3.1,"Memory optimized"
r5b.4xlarge,16.0,8.0,128.0,0,0.0,1.192,0.6732,2.0,0.0,"EBS only","Up to 10 Gigabit","",3.1,"Memory optimized"
r5b.8xlarge,32.0,16.0,256.0,0,0.0,2.384,0.9511,2.0,0.0,"EBS only","10 Gigabit","",3.1,"Memory optimized"
r5b.large,2.0,1.0,16.0,0,0.0,0.149,0.05,2.0,0.0,"EBS only","Up to 10 Gigabit","",3.1,"Memory optimized"
r5b.metal,96.0,48.0,768.0,0,0.0,7.152,1.1337,2.0,0.0,"EBS only","25 Gigabit","",3.1,"Memory optimized"
r5b.xlarge,4.0,2.0,32.0,0,0.0,0.298,0.1489,2.0,0.0,"EBS only","Up to 10 Gigabit","",3.1,"Memory optimized"
r5d.12xlarge,48.0,24.0,384.0,0,0.0,3.456,1.2016,2.0,1800.0,"2 x 900 NVMe SSD","12 Gigabit","",3.1,"Memory optimized"
r5d.16xlarge,64.0,32.0,512.0,0,0.0,4.608,1.2089,2.0,2400.0,"4 x 600 NVMe SSD","20 Gigabit","",3.1,"Memory optimized"
r5d.24xlarge,96.0,48.0,768.0,0,0.0,6.912,1.9184,2.0,3600.0,"4 x 900 NVMe SSD","25 Gigabit","",3.1,"Memory optimized"
r5d.2xlarge,8.0,4.0,64.0,0,0.0,0.576,0.306,2.0,300.0,"1 x 300 NVMe SSD","Up to 10 Gigabit","",3.1,"Memory optimized"
r5d.4xlarge,16.0,8.0,128.0,0,0.0,1.152,0.5361,2.0,600.0,"2 x 300 NVMe SSD","Up to 10 Gigabit","",3.1,"Memory optimized"
r5d.8xlarge,32.0,16.0,256.0,0,0.0,2.304,0.6022,2.0,1200.0,"2 x 600 NVMe SSD","10 Gigabit","",3.1,"Memory optimized"
r5d.large,2.0,1.0,16.0,0,0.0,0.144,0.0442,2.0,75.0,"1 x 75 NVMe SSD","Up to 10 Gigabit","",3.1,"Memory optimized"
r5d.metal,96.0,48.0,768.0,0,0.0,6.912,1.6663,2.0,3600.0,"4 x 900 NVMe SSD","25 Gigabit","",3.1,"Memory optimized"
r5d.xlarge,4.0,2.0,32.0,0,0.0,0.288,0.1466,2.0,150.0,"1 x 150 NVMe SSD","Up to 10 Gigabit","",3.1,"Memory optimized"
r5dn.12xlarge,48.0,24.0,384.0,0,0.0,4.008,1.239,2.0,1800.0,"2 x 900 GB NVMe SSD","50 Gigabit","",3.1,"Memory optimized"
r5dn.16xlarge,64.0,32.0,512.0,0,0.0,5.344,1.6124,2.0,2400.0,"4 x 600 NVMe SSD","75 Gigabit","",3.1,"Memory optimized"
r5dn.24xlarge,96.0,48.0,768.0,0,0.0,8.016,2.3844,2.0,3600.0,"4 x 900 NVMe SSD","100 Gigabit","",3.1,"Memory optimized"
r5dn.2xlarge,8.0,4.0,64.0,0,0.0,0.668,0.287,2.0,300.0,"1 x 300 NVMe SSD","Up to 25 Gigabit","",3.1,"Memory optimized"
r5dn.4xlarge,16.0,8.0,128.0,0,0.0,1.336,0.4889,2.0,600.0,"2 x 300 NVMe SSD","Up to 25 Gigabit","",3.1,"Memory optimized"
r5dn.8xlarge,32.0,16.0,256.0,0,0.0,2.672,0.7386,2.0,1200.0,"2 x 600 NVMe SSD","25 Gigabit","",3.1,"Memory optimized"
r5dn.large,2.0,1.0,16.0,0,0.0,0.167,0.032,2.0,75.0,"1 x 75 NVMe SSD","Up to 25 Gigabit","",3.1,"Memory optimized"
r5dn.metal,96.0,48.0,768.0,0,0.0,8.016,0.8016,2.0,3600.0,"4 x 900 NVMe SSD","100 Gigabit","",3.1,"Memory optimized"
r5dn.xlarge,4.0,2.0,32.0,0,0.0,0.334,0.1543,2.0,150.0,"1 x 150 NVMe SSD","Up to 25 Gigabit","",3.1,"Memory optimized"
r5n.12xlarge,48.0,24.0,384.0,0,0.0,3.576,0.8753,2.0,0.0,"EBS only","50 Gigabit","",3.1,"Memory optimized"
r5n.16xlarge,64.0,32.0,512.0,0,0.0,4.768,1.1398,2.0,0.0,"EBS only","75 Gigabit","",3.1,"Memory optimized"
r5n.24xlarge,96.0,48.0,768.0,0,0.0,7.152,1.8088,2.0,0.0,"EBS only","100 Gigabit","",3.1,"Memory optimized"
r5n.2xlarge,8.0,4.0,64.0,0,0.0,0.596,0.3045,2.0,0.0,"EBS only","Up to 25 Gigabit","",3.1,"Memory optimized"
